name in AWIB,betteruri
Alex Retzlef,http://viaf.org/viaf/26717884/
Alex Retzleff,http://viaf.org/viaf/26717884/
Allison Kidd,http://isaw.nyu.edu/awib/person/allison-kidd
Anne Chen,http://isaw.nyu.edu/awib/person/anne-chen
C. Connor,http://viaf.org/viaf/14839257/
Carolyn Connor,http://viaf.org/viaf/14839257/
Elizabeth Sarlitto,http://isaw.nyu.edu/awib/person/elizabeth-sarlitto
Eric Dugdale,http://viaf.org/viaf/9516413/
Erik Hermans,http://isaw.nyu.edu/awib/person/erik-hermans
Erika Rockett,http://isaw.nyu.edu/awib/person/erika-rockett
George Houston,http://viaf.org/viaf/33149624
George W. Houston,http://viaf.org/viaf/33149624
Graham Clayton,http://isaw.nyu.edu/awib/person/claytor-graham
Graham Claytor,http://isaw.nyu.edu/awib/person/claytor-graham
Harry Meyer,http://isaw.nyu.edu/awib/person/harry-meyer
Irene Soto,http://isaw.nyu.edu/awib/person/irene-soto
Iris Fernandez,http://isaw.nyu.edu/awib/person/fernandez-iris
John Hansen,http://isaw.nyu.edu/awib/person/hansen-john
John Sarlitto,http://isaw.nyu.edu/awib/person/john-sarlitto
K. McDonnell,http://isaw.nyu.edu/awib/person/kathryn-mcdonnell
Katherine McDonnell,http://isaw.nyu.edu/awib/person/kathryn-mcdonnell
Kathryn McDonnell,http://isaw.nyu.edu/awib/person/kathryn-mcdonnell
Kyera Giannini,http://isaw.nyu.edu/awib/person/giannini-kyera
Lisa Haney,http://isaw.nyu.edu/awib/person/haney-lisa
Mary Sarlitto,http://isaw.nyu.edu/awib/person/mary-sarlitto
Nate Nagy,http://isaw.nyu.edu/awib/person/nagy-nate
Nicola Aravecchia,http://viaf.org/viaf/90587994/
R Rumora,http://isaw.nyu.edu/awib/person/roko-rumora
Roger Bagnal,http://viaf.org/viaf/104306181/
Roger Bagnall,http://viaf.org/viaf/104306181/
Roko Rumora,http://isaw.nyu.edu/awib/person/roko-rumora
Sarah Ferguson,http://isaw.nyu.edu/awib/person/ferguson-sarah
Scott McDonough,http://isaw.nyu.edu/awib/person/mcdonough-scott
Sebastian Heath,http://viaf.org/viaf/220831018/
Tom Eliott,http://www.paregorios.org/me
Tom Elliott,http://www.paregorios.org/me
Tome Elliott,http://www.paregorios.org/me
William III West,http://isaw.nyu.edu/awib/person/iii-west-william
William III West,http://isaw.nyu.edu/awib/person/iii-west-william
